sequencerun_pk,run_sra_accession,run_ncbi_trace_link,sample_name,run_ncbi_identifier,run_avg_spot_length,run_bases,run_bytes,run_megabases,run_megabytes,run_num_replicons,run_releasedate,run_releasedate_curated
MDDBSRR000381,SRR1502595,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502595,S165,pooled forest soil sample-S165,485,4163676,8977006,4,8,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000382,SRR1502480,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502480,S036,pooled forest soil sample-S036,461,1969241,4411510,1,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000383,SRR1502594,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502594,S164,pooled forest soil sample-S164,482,3359280,7271382,3,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000384,SRR1502593,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502593,S163,pooled forest soil sample-S163,466,3558237,7702896,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000385,SRR1502602,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502602,S172,pooled forest soil sample-S172,488,2947049,6381034,2,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000386,SRR1502601,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502601,S171,pooled forest soil sample-S171,487,3266104,7024535,3,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000387,SRR1502600,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502600,S170,pooled forest soil sample-S170,480,3211056,6935843,3,6,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000388,SRR1502598,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502598,S168,pooled forest soil sample-S168,479,2866036,6175634,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000389,SRR1502599,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502599,S169,pooled forest soil sample-S169,483,4900599,10518865,4,10,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000390,SRR1502418,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502418,G2838,pooled forest soil sample-G2838,455,2726413,6112139,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000391,SRR1502669,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502669,S241,pooled forest soil sample-S241,440,2301796,5179180,2,4,4,2014-07-09T00:00:00Z,2014-07-09
