study_pk,sample_pk
MDDBSRA000001,MDDBSRS000195
MDDBSRA000001,MDDBSRS000196
MDDBSRA000001,MDDBSRS000197
MDDBSRA000001,MDDBSRS000198
MDDBSRA000001,MDDBSRS000199
MDDBSRA000001,MDDBSRS000200
MDDBSRA000001,MDDBSRS000201
MDDBSRA000001,MDDBSRS000202
MDDBSRA000001,MDDBSRS000203
MDDBSRA000001,MDDBSRS000204
MDDBSRA000001,MDDBSRS000205
MDDBSRA000001,MDDBSRS000206
MDDBSRA000001,MDDBSRS000207
MDDBSRA000001,MDDBSRS000208
MDDBSRA000001,MDDBSRS000209
MDDBSRA000001,MDDBSRS000210
MDDBSRA000001,MDDBSRS000211
MDDBSRA000001,MDDBSRS000212
MDDBSRA000001,MDDBSRS000213
MDDBSRA000001,MDDBSRS000214
MDDBSRA000001,MDDBSRS000215
MDDBSRA000001,MDDBSRS000216
MDDBSRA000001,MDDBSRS000217
MDDBSRA000001,MDDBSRS000218
MDDBSRA000001,MDDBSRS000219
MDDBSRA000001,MDDBSRS000220
MDDBSRA000001,MDDBSRS000221
MDDBSRA000001,MDDBSRS000222
MDDBSRA000001,MDDBSRS000223
MDDBSRA000001,MDDBSRS000224
MDDBSRA000001,MDDBSRS000225
MDDBSRA000001,MDDBSRS000226
MDDBSRA000001,MDDBSRS000227
MDDBSRA000001,MDDBSRS000228
MDDBSRA000001,MDDBSRS000229
MDDBSRA000001,MDDBSRS000230
MDDBSRA000001,MDDBSRS000231
MDDBSRA000001,MDDBSRS000232
MDDBSRA000001,MDDBSRS000233
MDDBSRA000001,MDDBSRS000234
MDDBSRA000001,MDDBSRS000235
MDDBSRA000001,MDDBSRS000236
MDDBSRA000001,MDDBSRS000237
MDDBSRA000001,MDDBSRS000238
